Scholarship Name,Deadline,Amount,Description,Location,Years,Link
Daniel Ashley and Irene Houston Jewell Foundation Scholarship,Unknown deadline,500.0,"Applicant must be a graduate of Gordon Lee Memorial High School in Chickamauga, Ga.",Chickamauga,"['College freshman', 'College sophomore', 'College senior', 'College junior']",https://www.collegescholarships.org/financial-aid/scholarship/daniel-ashley-and-irene-houston-jewell-foundation-scholarship
Northern Virginia Urban League Scholarship,Unknown deadline,500.0,"Applicant must be an African-American high school senior who is graduating from an accredited public or private high school in Alexandria, Arlington, Loudon, Prince William, or Fairfax County. Applicant must have been accepted to, or have applied to an accredited college or university in the United States and plan to enroll as a full-time student in a program leading to a bachelor&#039;s degree. Minimum 2.5 GPA and demonstration of communication skills, leadership skills, and community involvement are required.","Alexandria City, Arlington, Fairfax, Loudoun, Prince William",['High school senior'],https://www.collegescholarships.org/financial-aid/scholarship/northern-virginia-urban-league-scholarship
Albert Shanker College Scholarship,Unknown deadline,500.0,Applicant must be from New York City who comes from a low-income family.,New York,['High school senior'],https://www.collegescholarships.org/financial-aid/scholarship/albert-shanker-college-scholarship
Graduate Student Scholarship,Unknown deadline,500.0,Applicant must be a full-time graduate student. Selection is based upon academic promise and outstanding academic achievement. One scholarship gives priority to foreign or minority students studying in the continental U.S.; another gives priority to disabled students; and another gives priority to a minority student. Master&#039;s level students must be enrolled in or accepted to a program ccredited by te American Speech-Language-Hearing Association Council on Academic Accreditation.,United States,"['Doctoral-level study', 'Master&#039;s-level study']",https://www.collegescholarships.org/financial-aid/scholarship/graduate-student-scholarship
Graduate Student Scholarship for a Minority Student,Unknown deadline,500.0,"Applicant must be a U.S. citizen, a minority, and be accepted for full-time study in a graduate program. Applicant must submit a formal application. Master&#039;s level students must be enrolled in or accepted to a program accredited by te American Speech-Language-Hearing Association Council on Academic Accreditation.",No Geographic Restrictions,"['Doctoral-level study', 'Master&#039;s-level study']",https://www.collegescholarships.org/financial-aid/scholarship/graduate-student-scholarship-for-a-minority-student
Dorothy Lemke Howarth Scholarship,Unknown deadline,500.0,"Applicant must be a U.S. citizen, a woman, and have a minimum 3.0 GPA. Applicant must be in an ABET-accredited engineering program, engineering at SWE-approved institution, or computer science in a CSAB-accredited program or at an ABET-accredited or SWE-approved institution.",No Geographic Restrictions,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/dorothy-lemke-howarth-scholarship
Boy Scout of the Year Scholarship,Unknown deadline,500.0,"Applicant must be a Boy Scout who exhibits outstanding service to his religious institution, school, and community and has received the Eagle Scout Award. Selection is by the Boy Scout Committee. Award must be used in state of Iowa.",Iowa,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/boy-scout-of-the-year-scholarship
Mortar Board National Foundation Fellowship,Unknown deadline,500.0,Applicant must be a Mortarboard member or alumni.,No Geographic Restrictions,['College senior'],https://www.collegescholarships.org/financial-aid/scholarship/mortar-board-national-foundation-fellowship
Trent R. Dames &amp; William W. Moore Fellowship,Unknown deadline,500.0,"Awarded on a competitive basis for a proposed research project for the exploration of new applications of geotechnical engineering or the earth sciences to social, economic, environmental, and political issues.",No Geographic Restrictions,"['Master&#039;s-level study', 'Other postgraduate-level study', 'Doctoral-level study']",https://www.collegescholarships.org/financial-aid/scholarship/trent-r-dames-william-w-moore-fellowship
Samuel Fletcher Tapman ASCE Student Chapter/Club Scholarship,Unknown deadline,500.0,"Applicant must be an ASCE National Student Member; not more than two applications per student chapter may be submitted. Selection is based upon the appraisal of the applicant&#039;s justification of the award, educational plan, academic performance and standing, potential for development, leadership capacity, and financial need.",No Geographic Restrictions,"['College freshman', 'College senior', 'College sophomore', 'College junior']",https://www.collegescholarships.org/financial-aid/scholarship/samuel-fletcher-tapman-asce-student-chapterclub-scholarship
AGC Education and Research Foundation Graduate Award,Unknown deadline,500.0,"Applicant must be a college senior enrolled in an ABET or ACCE-accredited (or candidate status) construction or civil engineering program, or possess an undergraduate construction or civil engineering degree from such an accredited program. Applicant must be enrolled or planning to enroll as a full-time student in a construction graduate degree program or part-time student in one of the sponsor&#039;s recognized master&#039;s programs for the fall term; one full academic year is required to remain in the applicant&#039;s schooling. Application, evaluation forms, and transcript are required.",United States,"['Master&#039;s-level study', 'College senior', 'Doctoral-level study']",https://www.collegescholarships.org/financial-aid/scholarship/agc-education-and-research-foundation-graduate-award
AGC Education and Research Foundation Undergraduate Scholarship,Unknown deadline,500.0,"Applicant must be a college sophomore or junior enrolled or planning to enroll in a full-time, four- or five-year ABET or ACCE-accredited construction management, or construction-related engineering program. Application, evaluation forms, and transcript are required.",United States,"['College senior', 'College junior', 'College sophomore']",https://www.collegescholarships.org/financial-aid/scholarship/agc-education-and-research-foundation-undergraduate-scholarship
John C. Robbins Scholarship,Unknown deadline,500.0,Applicant must have a major that is considered beneficial to the New York State water works. Selection is based upon academic achievement and extracurricular activities.,New York,"['College senior', 'College junior']",https://www.collegescholarships.org/financial-aid/scholarship/john-c-robbins-scholarship
Virginia Museum of Fine Arts Fellowship,Unknown deadline,500.0,"Applicant must be a U.S. citizen or permanent U.S. resident, must have been a resident of Virginia for at least one year prior to the deadline, must be enrolled full time at an accredited college, university, or school of the arts, and must submit 10 slides of artwork for art, three films for film/video, or three research papers for art history.",Virginia,"['Master&#039;s-level study', 'College senior', 'Doctoral-level study', 'College sophomore', 'College freshman', 'College junior']",https://www.collegescholarships.org/financial-aid/scholarship/virginia-museum-of-fine-arts-fellowship
Henry Luce Foundation/ACLS Dissertation Fellowship in American Art History,Unknown deadline,500.0,"Applicant must be a U.S. citizen, be a Ph.D. candidate, have completed all requirements for the Ph.D. except the dissertation, and have a dissertation topic focused on the history of visual arts of the U.S. Applicant must be enrolled at a U.S. institution. Applications must be submitted through the ACLS Online Fellowship Application system (OFA). OFA is accessible through the Fellowship and Grant Programs section of the web site.",No Geographic Restrictions,"['Master&#039;s-level study', 'Doctoral-level study']",https://www.collegescholarships.org/financial-aid/scholarship/henry-luce-foundationacls-dissertation-fellowship-in-american-art-history
