Scholarship Name,Deadline,Amount,Description,Location,Years,Link
Mary Walk Banking and Finance Award,Unknown deadline,500.0,Applicant must have a minimum 2.75 GPA and must demonstrate outstanding contribution to one of the Fox School of Business and Management student organizations.,No Geographic Restrictions,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/mary-walk-banking-and-finance-award
Ursinus Scholarship,Unknown deadline,500.0,Selection is based upon overall high school achievement and potential to contribute to the campus community.,No Geographic Restrictions,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/ursinus-scholarship
Steinbright Scholarship,Unknown deadline,500.0,"Selection is based upon academic and leadership achievements. One award is given to the strongest applicant attending high school in each of the following counties: Berks, Bucks, Chester, Delaware, Montgomery, and Philadelphia.","Berks, Bucks, Chester, Delaware, Montgomery, Philadelphia",['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/steinbright-scholarship
Tower Scholarship,Unknown deadline,500.0,Applicant must demonstrate superior academic and leadership achievements and must plan to pursue graduate academic work or attend a professional school.,No Geographic Restrictions,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/tower-scholarship-1
Zacharias National Scholarship,Unknown deadline,500.0,"Applicant must demonstrate academic achievement, intellectual gifts, and leadership potential in his/her chosen field. National and state recognitions are also weighed heavily in the selection process.",No Geographic Restrictions,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/zacharias-national-scholarship
Founder&#039;s Scholarship,Unknown deadline,500.0,Applicant must have a minimum 3.0 GPA and minimum combined SAT Reasoning score of 1000.,No Geographic Restrictions,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/founders-scholarship-20
Vaughn College Scholarship,Unknown deadline,500.0,Selection is based upon academic achievement and financial need.,No Geographic Restrictions,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/vaughn-college-scholarship
Transfer Student Scholarship,Unknown deadline,500.0,Applicant must have a minimum 3.0 GPA and 24 credits.,No Geographic Restrictions,"['College senior', 'College sophomore', 'College junior']",https://www.collegescholarships.org/financial-aid/scholarship/transfer-student-scholarship-6
"The National Science Foundation Computer Science, Engineering, and Mathematics Scholarship",Unknown deadline,500.0,"Freshman applicant must rank in the top quarter of their class, have a minimum 2.7 GPA and minimum combined SAT Reasoning score of 850. Continuing student applicant must have a minimum 3.0 GPA and be able to demonstrate a strong interest in each discipline. Interview is required regardless of enrollment level.",No Geographic Restrictions,"['College junior', 'College sophomore', 'College freshman', 'College senior']",https://www.collegescholarships.org/financial-aid/scholarship/the-national-science-foundation-computer-science-engineering-and-mathematics-scholarship
Gold Wings Scholarship,Unknown deadline,500.0,Applicant must have a minimum &quot;B&quot; average and a minimum combined SAT Reasoning score of 1000. Selection is based upon academic achievement and teacher or principal nomination.,No Geographic Restrictions,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/gold-wings-scholarship
Scholars Scholarship,Unknown deadline,500.0,Selection is based upon academic achievement.,Vermont,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/scholars-scholarship
Bachelor&#039;s in Engineering Scholarship,Unknown deadline,500.0,Applicant must have a minimum 3.5 GPA and faculty recommendation.,No Geographic Restrictions,['College junior'],https://www.collegescholarships.org/financial-aid/scholarship/bachelors-in-engineering-scholarship
Farms 2+2 Program,Unknown deadline,500.0,Applicant must demonstrate potential to carry forward his/her education to the Dairy Program.,Vermont,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/farms-22-program
Freeman Nurse Scholars Program,Unknown deadline,500.0,Selection is based upon academic achievement. Applicant must agree to practice in Vermont for a minimum of two years after graduation.,No Geographic Restrictions,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/freeman-nurse-scholars-program
Abraham Shapiro Memorial Scholarship,Unknown deadline,500.0,Selection is based upon essay submission and financial need.,Vermont,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/abraham-shapiro-memorial-scholarship
Agnes M. Lindsay Trust Scholarship,Unknown deadline,500.0,Applicant must demonstrate academic achievement and financial need and must be a rural New England resident.,"Vermont, Maine, Rhode Island, New Hampshire, Massachusetts, Connecticut",['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/agnes-m-lindsay-trust-scholarship
Bridges to Vermont Scholarship,Unknown deadline,500.0,"Applicant must have a minimum 2.5 GPA, demonstrate involvement in a college club, student government, or a community organization, and must be a non-Vermont resident. Selection is based upon essay submission.",No Geographic Restrictions,['College sophomore'],https://www.collegescholarships.org/financial-aid/scholarship/bridges-to-vermont-scholarship
C.V. Starr Scholarship,Unknown deadline,500.0,"Selection is based upon academic achievement, financial need, and essay submission.",Vermont,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/cv-starr-scholarship
Robert and Margaret Churchill Memorial Scholarship,Unknown deadline,500.0,Applicant must be enrolled in the Dairy Farm Management or Agribusiness Program and must plan to return to the family farm after graduation.,Vermont,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/robert-and-margaret-churchill-memorial-scholarship
Easterm States Exposition Scholarship,Unknown deadline,500.0,Preference is given to applicant who has participated in the Eastern States Exposition.,Vermont,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/easterm-states-exposition-scholarship
Jesse Huff Hughes Memorial Scholarship,Unknown deadline,500.0,Selection is based upon essay submission. Preference is given to an applicant in the architectural and building technology program.,No Geographic Restrictions,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/jesse-huff-hughes-memorial-scholarship
Phi Theta Kappa Scholarship,Unknown deadline,500.0,Applicant must have a minimum 3.0 GPA and demonstrate financial need. Selection is based upon essay submission.,No Geographic Restrictions,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/phi-theta-kappa-scholarship-33
Shorey-Harvey Scholarship,Unknown deadline,800.0,Applicant must have an interest in education. Selection is based upon essay submission.,Vermont,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/shorey-harvey-scholarship
Stanley G. Judd Loan,Unknown deadline,750.0,Selection is based upon academic achievement and financial need.,No Geographic Restrictions,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/stanley-g-judd-loan
Merit Award Scholarship,Unknown deadline,500.0,Applicant is automatically considered for this award upon applying to the university.,No Geographic Restrictions,"['College freshman', 'College junior', 'College sophomore', 'College senior']",https://www.collegescholarships.org/financial-aid/scholarship/merit-award-scholarship
President&#039;s Scholarship,Unknown deadline,500.0,Applicant must demonstrate academic achievement and school/community involvement.,No Geographic Restrictions,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/presidents-scholarship-33
Arioch Scholarship,Unknown deadline,500.0,Applicant must have a minimum combined SAT Reasoning score of 1860 and be able to demonstrate academic achievement and school and community involvement.,No Geographic Restrictions,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/arioch-scholarship
Wentworth Community Scholarship,Unknown deadline,500.0,Applicant must have a minimum 3.0 GPA and demonstrate active commitment to the campus community.,No Geographic Restrictions,"['College junior', 'College senior', 'College sophomore']",https://www.collegescholarships.org/financial-aid/scholarship/wentworth-community-scholarship
Anthony and Julia Caraluzzi Family Scholarship for the Ancell School of Business,Unknown deadline,500.0,Applicant must have a minimum 3.5 GPA and 30 credits.,No Geographic Restrictions,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/anthony-and-julia-caraluzzi-family-scholarship-for-the-ancell-school-of-business
ATMI Scholarship - Ancell School of Business,Unknown deadline,500.0,Selection is based upon academic excellence in major.,No Geographic Restrictions,"['College junior', 'College senior']",https://www.collegescholarships.org/financial-aid/scholarship/atmi-scholarship-ancell-school-of-business
Dante Cirilli/Grolier Direct Marketing Scholarship - Ancell School of Business,Unknown deadline,500.0,Description not available,No Geographic Restrictions,"['College senior', 'College junior']",https://www.collegescholarships.org/financial-aid/scholarship/dante-cirilligrolier-direct-marketing-scholarship-ancell-school-of-business
Gino Arconti JLA Scholarship - Ancell School of Business,Unknown deadline,500.0,Applicant must demonstrate success in constitutional law.,No Geographic Restrictions,['College junior'],https://www.collegescholarships.org/financial-aid/scholarship/gino-arconti-jla-scholarship-ancell-school-of-business
Kenneth Keller Memorial Scholarship,Unknown deadline,500.0,Applicant must have a minimum 3.3 GPA and 75 credits. Preference is given to applicant pursuing the small business/entrepreneurship option.,No Geographic Restrictions,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/kenneth-keller-memorial-scholarship
WestConn at Waterbury Management Scholarship,Unknown deadline,500.0,Applicant must be a Naugatuck Valley Community College student or graduate who has been accepted to the management program at WestConn at Waterbury.,No Geographic Restrictions,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/westconn-at-waterbury-management-scholarship
Business Women&#039;s Forum Scholarship,Unknown deadline,500.0,Applicant must be enrolled in the WestConn at Waterbury management program.,No Geographic Restrictions,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/business-womens-forum-scholarship
Dr. Victor Ruderman Memorial Scholarship,Unknown deadline,500.0,Applicant must be in the counselor education program.,No Geographic Restrictions,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/dr-victor-ruderman-memorial-scholarship
Nancy Barelle Reading Scholarship,Unknown deadline,500.0,Applicant must be a practicing elementary teacher in the reading core who has distinguished him/herself in the field of reading.,No Geographic Restrictions,['Master&#039;s-level study'],https://www.collegescholarships.org/financial-aid/scholarship/nancy-barelle-reading-scholarship
Alumni Association Graduate Scholarship,Unknown deadline,500.0,Description not available,No Geographic Restrictions,['Master&#039;s-level study'],https://www.collegescholarships.org/financial-aid/scholarship/alumni-association-graduate-scholarship-1
Anapurna Kanungo Biology Award,Unknown deadline,100.0,Applicant must have a minimum 3.0 GPA and demonstrate excellence in botany studies.,No Geographic Restrictions,['College senior'],https://www.collegescholarships.org/financial-aid/scholarship/anapurna-kanungo-biology-award
Arnold C. Brackman Memorial Scholarship,Unknown deadline,250.0,Applicant must demonstrate potential in journalism.,No Geographic Restrictions,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/arnold-c-brackman-memorial-scholarship
Arthur and Alberta Rosien Memorial Scholarship,Unknown deadline,500.0,Applicant must have a minimum 3.0 GPA.,No Geographic Restrictions,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/arthur-and-alberta-rosien-memorial-scholarship
Bruce I. Goldsen Radio Broadcasting Scholarship,Unknown deadline,500.0,Description not available,No Geographic Restrictions,"['College junior', 'College senior', 'College sophomore']",https://www.collegescholarships.org/financial-aid/scholarship/bruce-i-goldsen-radio-broadcasting-scholarship
Carey Foundation Fund Scholarship,Unknown deadline,500.0,Selection is based upon academic achievement.,No Geographic Restrictions,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/carey-foundation-fund-scholarship
Department of Biological and Environmental Sciences Scholarship,Unknown deadline,300.0,Description not available,No Geographic Restrictions,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/department-of-biological-and-environmental-sciences-scholarship
Elizabeth Fields Women&#039;s Studies Scholarship,Unknown deadline,500.0,Description not available,No Geographic Restrictions,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/elizabeth-fields-womens-studies-scholarship
John Tamas Memorial Scholarship,Unknown deadline,500.0,Applicant must have a minimum 3.0 GPA and demonstrate enthusiasm toward scholarly pursuits and/or creative writing.,No Geographic Restrictions,"['College junior', 'College senior']",https://www.collegescholarships.org/financial-aid/scholarship/john-tamas-memorial-scholarship
John V. Friel History Scholarship,Unknown deadline,250.0,Applicant must demonstrate enthusiasm for learning and a commitment to helping others.,No Geographic Restrictions,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/john-v-friel-history-scholarship
Jonathan Mottley Memorial Scholarship,Unknown deadline,500.0,Awarded to the Meteorology student with the highest GPA.,No Geographic Restrictions,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/jonathan-mottley-memorial-scholarship
Michael Vaden-Kiernan Scholarship in Community Psychology,Unknown deadline,150.0,Applicant must study community psychology.,No Geographic Restrictions,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/michael-vaden-kiernan-scholarship-in-community-psychology
Ruth M. Dawson Scholarship,Unknown deadline,750.0,Applicant must have a minimum 3.5 GPA and demonstrate talent in creative science writing or science journalism.,No Geographic Restrictions,"['College junior', 'College senior']",https://www.collegescholarships.org/financial-aid/scholarship/ruth-m-dawson-scholarship
The News-Times/Stephen A. Collins Memorial Scholarship,Unknown deadline,500.0,Applicant must have 45 credits and an interest in journalism and writing.,No Geographic Restrictions,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/the-news-timesstephen-a-collins-memorial-scholarship
W. Robert Vaden Scholarship in Mathematics,Unknown deadline,400.0,Applicant must demonstrate a love of math.,No Geographic Restrictions,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/w-robert-vaden-scholarship-in-mathematics
Wohlever Award in Computer Science,Unknown deadline,500.0,"Applicant must demonstrate academic achievement, broad intellectual interest, and service to the school and the community.",No Geographic Restrictions,['College junior'],https://www.collegescholarships.org/financial-aid/scholarship/wohlever-award-in-computer-science
Connecticut State Loan Forgiveness Corporate Scholarship,Unknown deadline,500.0,Selection is based upon academic achievement and financial need.,No Geographic Restrictions,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/connecticut-state-loan-forgiveness-corporate-scholarship
Craig Lundwall Memorial Scholarship,Unknown deadline,300.0,Selection is based upon financial need.,No Geographic Restrictions,['College senior'],https://www.collegescholarships.org/financial-aid/scholarship/craig-lundwall-memorial-scholarship
CT State Department of Higher Education Minority Teacher Incentive Program,Unknown deadline,500.0,Description not available,No Geographic Restrictions,['College junior'],https://www.collegescholarships.org/financial-aid/scholarship/ct-state-department-of-higher-education-minority-teacher-incentive-program
Dana Wandschneider Nursing Scholarship,Unknown deadline,500.0,Applicant must have a minimum 3.0 GPA and demonstrate success in balancing school and family.,No Geographic Restrictions,"['College junior', 'College senior']",https://www.collegescholarships.org/financial-aid/scholarship/dana-wandschneider-nursing-scholarship
Danbury Hospital - WCSU Nursing Career Development Program,Unknown deadline,500.0,Applicant must demonstrate academic achievement and financial need and must participate in a summer work-study program.,No Geographic Restrictions,"['College junior', 'College senior']",https://www.collegescholarships.org/financial-aid/scholarship/danbury-hospital-wcsu-nursing-career-development-program
Dr. Joseph B. Cherry Memorial Nursing Scholarship,Unknown deadline,500.0,Applicant must have a minimum 3.1 GPA and demonstrate academic excellence.,No Geographic Restrictions,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/dr-joseph-b-cherry-memorial-nursing-scholarship
Frances S. Weigler Memorial Nursing Scholarship,Unknown deadline,250.0,Description not available,No Geographic Restrictions,['College sophomore'],https://www.collegescholarships.org/financial-aid/scholarship/frances-s-weigler-memorial-nursing-scholarship
Helen F. Mizer Award,Unknown deadline,250.0,Applicant must demonstrate leadership and academic achievement in major and must be an outstanding Sigma Theta Tau member.,No Geographic Restrictions,['College senior'],https://www.collegescholarships.org/financial-aid/scholarship/helen-f-mizer-award
Institute for Holistic Health Studies Scholarship,Unknown deadline,500.0,Preference is given to applicant who demonstrates interest in the healing arts and community service.,No Geographic Restrictions,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/institute-for-holistic-health-studies-scholarship
Irfan Kathwari Foundation Scholarship,Unknown deadline,500.0,Applicant must be in the teacher education program. Preference is given to Danbury inner-city minority applicant who plans to pursue a career teaching in the Danbury public schools.,Danbury,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/irfan-kathwari-foundation-scholarship
James Furman Memorial Music Award,Unknown deadline,150.0,"Applicant must demonstrate musical performance ability, high scholastic standing, and contributions to major department.",No Geographic Restrictions,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/james-furman-memorial-music-award
Laura Duffy Memorial Scholarship,Unknown deadline,250.0,Applicant must demonstrate commitment to community service.,No Geographic Restrictions,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/laura-duffy-memorial-scholarship
May Sherwood Memorial Alumni Scholarship,Unknown deadline,500.0,Applicant must have a minimum 3.5 GPA and at least 90 credits.,No Geographic Restrictions,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/may-sherwood-memorial-alumni-scholarship
Nursing Scholarship,Unknown deadline,500.0,Description not available,No Geographic Restrictions,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/nursing-scholarship-5
Paul L. Jones Nursing Award,Unknown deadline,500.0,Description not available,Connecticut,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/paul-l-jones-nursing-award
Professor Albert,Unknown deadline,500.0,Applicant must be a registered nurse enrolled in the RN-BSN program.,No Geographic Restrictions,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/professor-albert
Robert Schappert Scholarship,Unknown deadline,500.0,Applicant must be graduating in May. Preference is given to applicant from a working-class family with a strong GPA.,No Geographic Restrictions,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/robert-schappert-scholarship
School of Professional Studies Graduate Promise Award,Unknown deadline,150.0,"Applicant must demonstrate academic excellence, commitment to service, and promise in a graduate studies program to which he/she has been accepted.",No Geographic Restrictions,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/school-of-professional-studies-graduate-promise-award
Scott Andrews Memorial Scholarship,Unknown deadline,250.0,Applicant must demonstrate commitment to helping others. Preference is given applicant from a single-parent family.,No Geographic Restrictions,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/scott-andrews-memorial-scholarship
Stephen K. Lovett Education Award,Unknown deadline,250.0,One award is given to the Elementary Education major with the highest GPA and one award is given to the Secondary Education major with the highest GPA.,No Geographic Restrictions,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/stephen-k-lovett-education-award
Tom and Lois Crucitti Nursing Scholarship,Unknown deadline,500.0,Applicant must have a minimum 3.0 GPA and 30 credits.,No Geographic Restrictions,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/tom-and-lois-crucitti-nursing-scholarship
Union Savings Bank - Sturdevant Family Scholarship,Unknown deadline,250.0,Applicant must be pursuing a career in teaching mathematics.,No Geographic Restrictions,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/union-savings-bank-sturdevant-family-scholarship
WCSU Foundation Scholarship,Unknown deadline,750.0,Applicant must demonstrate contributions to the university and leadership potential.,No Geographic Restrictions,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/wcsu-foundation-scholarship
WestConn at Waterbury Nursing Scholarship,Unknown deadline,500.0,Applicant must be a Naugatuck Valley Community College student or graduate enrolled in WestConn at Waterbury&#039;s nursing program.,No Geographic Restrictions,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/westconn-at-waterbury-nursing-scholarship
Don Craig and James Furman Choral Music Legacy,Unknown deadline,200.0,Awarded to the performer in the choral program who has contributed the most to the tradition of excellence.,No Geographic Restrictions,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/don-craig-and-james-furman-choral-music-legacy
Julius Baker Music Award,Unknown deadline,500.0,Applicant must be a talented flutist.,No Geographic Restrictions,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/julius-baker-music-award
Music Department Chair&#039;s Award,Unknown deadline,200.0,Applicant must demonstrate academic achievements that represent the most consistent and highest level of music performance throughout the collegiate career.,No Geographic Restrictions,['College senior'],https://www.collegescholarships.org/financial-aid/scholarship/music-department-chairs-award
Rich Reimold Theatre Arts Scholarship,Unknown deadline,500.0,Applicant must have a minimum 2.0 GPA.,No Geographic Restrictions,"['College junior', 'College sophomore']",https://www.collegescholarships.org/financial-aid/scholarship/rich-reimold-theatre-arts-scholarship
Roberta Moravsky Watts Music Scholarship,Unknown deadline,400.0,"Selection is academic achievement, performance excellence, and financial need.",No Geographic Restrictions,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/roberta-moravsky-watts-music-scholarship
Roger Winward Scholarship,Unknown deadline,250.0,"Applicant must demonstrate financial need, have a strong GPA, and be graduating in May. Preference is given to applicant from a working-class family.",No Geographic Restrictions,['College senior'],https://www.collegescholarships.org/financial-aid/scholarship/roger-winward-scholarship
Rose Londa Heyman Scholarship,Unknown deadline,750.0,Description not available,Danbury,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/rose-londa-heyman-scholarship
Ruth P. DeVillafranca Music Education Award,Unknown deadline,500.0,"Selection is based upon academic achievement, music teaching potential, and contributions to the school and the music department.",No Geographic Restrictions,"['College senior', 'College junior']",https://www.collegescholarships.org/financial-aid/scholarship/ruth-p-devillafranca-music-education-award
Schoolmasters Special Scholarship IMO Joel Kannengeiser,Unknown deadline,750.0,Applicant must have a strong GPA and demonstrate academic achievement and musical talent.,Connecticut,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/schoolmasters-special-scholarship-imo-joel-kannengeiser
Walton Group Scholarship,Unknown deadline,500.0,Description not available,No Geographic Restrictions,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/walton-group-scholarship
Young Family Theatre Scholarship,Unknown deadline,500.0,Applicant must have a minimum 2.5 GPA and 15 credits. Selection is based upon financial need and faculty recommendation.,No Geographic Restrictions,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/young-family-theatre-scholarship
Susan B. and Henry G. Tritter Scholarship,Unknown deadline,500.0,Applicant must have a minimum 3.5 GPA and 60 credits and must demonstrate potential for success in his/her field of study.,No Geographic Restrictions,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/susan-b-and-henry-g-tritter-scholarship
American Association of University Women Scholarship,Unknown deadline,500.0,Description not available,No Geographic Restrictions,['College senior'],https://www.collegescholarships.org/financial-aid/scholarship/american-association-of-university-women-scholarship-3
Anthony and Julia Caraluzzi Family Scholarship for Bethel HS and Immaculate HS,Unknown deadline,500.0,Applicant must have a minimum 3.0 GPA.,No Geographic Restrictions,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/anthony-and-julia-caraluzzi-family-scholarship-for-bethel-hs-and-immaculate-hs
Fresh Start Scholarship,Unknown deadline,500.0,Applicant must be a non-traditional student with a minimum 3.0 GPA.,No Geographic Restrictions,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/fresh-start-scholarship
Grace B. Wheeler Robertson Estate Endowed Scholarship,Unknown deadline,500.0,Selection is based upon academic achievement.,No Geographic Restrictions,"['College senior', 'College junior']",https://www.collegescholarships.org/financial-aid/scholarship/grace-b-wheeler-robertson-estate-endowed-scholarship
Isabelle T. Farrington Scholarship,Unknown deadline,500.0,Applicant must rank in the top tenth of class.,No Geographic Restrictions,"['College junior', 'College senior']",https://www.collegescholarships.org/financial-aid/scholarship/isabelle-t-farrington-scholarship
WCSU Foundation President&#039;s Scholarship,Unknown deadline,500.0,Selection is based upon academic achievement.,No Geographic Restrictions,['College senior'],https://www.collegescholarships.org/financial-aid/scholarship/wcsu-foundation-presidents-scholarship
Kenneth R. Fryer Memorial Scholarship,Unknown deadline,400.0,Description not available,No Geographic Restrictions,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/kenneth-r-fryer-memorial-scholarship
Savings Bank of Danbury Rotary Scholarship,Unknown deadline,500.0,Awarded by Danbury Rotary Club scholarship committee.,No Geographic Restrictions,"['College sophomore', 'College junior', 'College freshman', 'College senior']",https://www.collegescholarships.org/financial-aid/scholarship/savings-bank-of-danbury-rotary-scholarship
W. Jason and Ellen M. Hancock Student Scholarship,Unknown deadline,500.0,Applicant must have a minimum 3.0 GPA and 45 credits. Selection is based upon financial need.,No Geographic Restrictions,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/w-jason-and-ellen-m-hancock-student-scholarship
WCSU Alumni Association Scholarship,Unknown deadline,500.0,Selection is based upon excellence in academics and co-curricular activities.,No Geographic Restrictions,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/wcsu-alumni-association-scholarship
Roy Young Community Service Scholarship,Unknown deadline,500.0,"Applicant must demonstrate involvement in one or more charitable organizations in Greater Danbury, CT.",No Geographic Restrictions,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/roy-young-community-service-scholarship
Macricostas Family Scholarship,Unknown deadline,500.0,Selection is based upon financial need.,No Geographic Restrictions,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/macricostas-family-scholarship
Harry and Mollie Marcus Scholarship,Unknown deadline,500.0,Selection is based upon financial need.,No Geographic Restrictions,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/harry-and-mollie-marcus-scholarship
Kenneth A. MacLeod Memorial Scholarship,Unknown deadline,500.0,Awarded to the student with the highest GPA in a regular freshman Engineering program.,No Geographic Restrictions,['College sophomore'],https://www.collegescholarships.org/financial-aid/scholarship/kenneth-a-macleod-memorial-scholarship
Mr. and Mrs. William F. Montross Business Scholarship,Unknown deadline,500.0,Applicant must have a minimum 2.8 GPA and a minimum combined SAT I score of 1000 and must demonstrate motivation and desire to succeed.,New Hampshire,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/mr-and-mrs-william-f-montross-business-scholarship
Linda and James Peters Scholarship,Unknown deadline,500.0,Applicant must demonstrate financial need.,No Geographic Restrictions,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/linda-and-james-peters-scholarship
Phi Theta Kappa Scholarship,Unknown deadline,500.0,Applicant must have a minimum 3.5 GPA and be a Phi Theta Kappa member.,No Geographic Restrictions,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/phi-theta-kappa-scholarship-34
Rizzi Family Scholarship,Unknown deadline,500.0,Selection is based upon financial need.,No Geographic Restrictions,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/rizzi-family-scholarship
Clark and Harlean Shea Scholarship,Unknown deadline,500.0,Selection is based upon financial need.,No Geographic Restrictions,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/clark-and-harlean-shea-scholarship
Sibling Discount,Unknown deadline,500.0,Applicant must come from a family that has more than one child attending the school.,No Geographic Restrictions,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/sibling-discount
Steerage Rock Endowed Scholarship,Unknown deadline,500.0,Selection is based upon academic achievement and financial need.,"Brimfield, Holland, Wales, Warren",['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/steerage-rock-endowed-scholarship
Philip W. Suomu Scholarship,Unknown deadline,500.0,Selection is based upon financial need.,No Geographic Restrictions,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/philip-w-suomu-scholarship
Women&#039;s Opportunity Scholarship,Unknown deadline,500.0,Applicant must demonstrate financial need and be serious about the pursuit of academic excellence.,No Geographic Restrictions,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/womens-opportunity-scholarship
Dr. Emma Wilder Anderson Endowed Scholarship,Unknown deadline,500.0,Applicant must have a minimum 3.0 GPA and demonstrate community service and volunteerism.,No Geographic Restrictions,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/dr-emma-wilder-anderson-endowed-scholarship
Mark Berthiaume and Betsy Thompson Scholarship,Unknown deadline,500.0,Selection is based upon financial need.,No Geographic Restrictions,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/mark-berthiaume-and-betsy-thompson-scholarship
John and Cheryl Bonatakis Scholarship,Unknown deadline,500.0,Selection is based upon financial need.,No Geographic Restrictions,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/john-and-cheryl-bonatakis-scholarship
Janet Johnson Bullard Scholarship,Unknown deadline,500.0,Selection is based upon financial need.,No Geographic Restrictions,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/janet-johnson-bullard-scholarship
Esther and Salvatore Caprio Endowed Scholarship,Unknown deadline,500.0,Selection is based upon academic achievement.,Rhode Island,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/esther-and-salvatore-caprio-endowed-scholarship
